resume_text,job_description,label
"Data Analysis, AWS, Docker, Python, HTML, Java, Azure","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"SQL, Git, Docker, HTML, Data Analysis, Machine Learning, Azure","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Node.js, Kubernetes, CSS, AWS, Java","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",1
"Git, React, AWS, JavaScript, Machine Learning","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"HTML, Azure, Python, Data Analysis, Kubernetes, Deep Learning, SQL","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Data Analysis, CSS, Deep Learning, SQL, Linux, Kubernetes","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",1
"Java, Git, Deep Learning, CSS, HTML","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",1
"React, HTML, JavaScript, Java","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Node.js, Machine Learning, Git, Deep Learning, Java","Looking for Backend Developer with skills: Java, SQL, Docker, Git",1
"Python, Machine Learning, CSS, Node.js, SQL, AWS","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Deep Learning, React, SQL, HTML","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",1
"CSS, Machine Learning, Docker, Kubernetes, HTML, React","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",1
"Azure, Docker, HTML, Kubernetes, Data Analysis, Python, JavaScript","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",1
"Git, C++, React, Deep Learning, SQL, HTML","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",1
"Deep Learning, Docker, Azure, Machine Learning, Git, Node.js","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Python, HTML, Linux, JavaScript","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Kubernetes, Docker, Data Analysis, Node.js, React, JavaScript","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",1
"Deep Learning, Machine Learning, Node.js, Data Analysis","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Linux, Node.js, React, Azure, Docker, SQL","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"HTML, Node.js, SQL, React, Linux, Machine Learning, CSS","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",1
"Python, Deep Learning, Node.js, CSS, C++, Docker, Machine Learning","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"AWS, Azure, Java, CSS","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Data Analysis, SQL, Kubernetes, Machine Learning, Node.js","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",1
"Azure, Docker, Linux, Python, HTML, Deep Learning","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Java, React, Git, SQL, HTML","Looking for Backend Developer with skills: Java, SQL, Docker, Git",1
"Azure, AWS, Linux, Machine Learning","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Azure, JavaScript, Python, Data Analysis","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"AWS, Machine Learning, Deep Learning, JavaScript","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Node.js, C++, Deep Learning, Docker, Git, Java","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Git, Machine Learning, Node.js, Java, CSS","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Kubernetes, Machine Learning, React, Git","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"HTML, AWS, React, Java, Docker, Azure","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"HTML, Git, Kubernetes, Python","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Git, Deep Learning, JavaScript, Python","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",1
"C++, Linux, Machine Learning, Java, Azure, SQL, Node.js","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Kubernetes, AWS, Java, HTML, Linux, JavaScript","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"JavaScript, Linux, CSS, C++, Azure","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Java, Deep Learning, JavaScript, Data Analysis, Linux, Kubernetes","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Linux, Machine Learning, Node.js, Docker, CSS","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Linux, Node.js, AWS, SQL, JavaScript, HTML","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"SQL, Docker, Node.js, HTML","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Python, React, Git, Azure, Kubernetes, Linux, C++","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"React, JavaScript, Linux, AWS, CSS, HTML","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Node.js, Azure, Deep Learning, SQL, AWS, C++","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Linux, Python, Java, HTML, Azure, CSS, C++","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",1
"Git, React, Data Analysis, CSS, Machine Learning, Python","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Machine Learning, Node.js, Python, C++, Kubernetes, SQL, AWS","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Git, JavaScript, Machine Learning, Azure, React","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Kubernetes, AWS, HTML, Git, React, Java, Deep Learning","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Docker, Python, Data Analysis, Kubernetes","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Data Analysis, Git, JavaScript, Kubernetes, CSS","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"HTML, Deep Learning, SQL, Docker, Python, React, Azure","Looking for Backend Developer with skills: Java, SQL, Docker, Git",1
"Docker, CSS, Azure, Git, Python, Data Analysis, AWS","Looking for Backend Developer with skills: Java, SQL, Docker, Git",1
"HTML, C++, Docker, CSS, Node.js, Machine Learning","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"AWS, SQL, Linux, Node.js","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Kubernetes, C++, Data Analysis, CSS, React, Docker, AWS","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Git, Data Analysis, JavaScript, Kubernetes, Docker","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"React, Azure, Docker, SQL, CSS, Deep Learning, AWS","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"AWS, Azure, Python, Java","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"JavaScript, Git, Deep Learning, Docker, Azure","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Node.js, Azure, Docker, Java, SQL, Git, Machine Learning","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Kubernetes, Deep Learning, Machine Learning, Java, JavaScript, AWS","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",1
"SQL, Docker, HTML, Azure","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"AWS, C++, React, JavaScript, Git","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"CSS, Kubernetes, AWS, HTML, JavaScript, C++, Git","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Data Analysis, C++, Kubernetes, CSS, Machine Learning, Linux","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Git, Deep Learning, HTML, Node.js, Machine Learning, Java, AWS","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Git, SQL, C++, CSS","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"JavaScript, Data Analysis, Deep Learning, HTML","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Machine Learning, Kubernetes, Python, Docker, HTML, JavaScript","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Deep Learning, React, Python, Machine Learning","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"C++, Java, React, Node.js, Python, Kubernetes, Data Analysis","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Kubernetes, SQL, Linux, React, JavaScript, Docker, Data Analysis","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Data Analysis, SQL, AWS, Kubernetes, CSS, Java, Deep Learning","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Docker, Linux, Java, Azure, Data Analysis, Node.js","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"AWS, Docker, HTML, SQL, Azure, Node.js","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"SQL, Docker, Linux, AWS","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",1
"Java, Docker, Machine Learning, Git","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Linux, Kubernetes, Git, Docker","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Data Analysis, AWS, SQL, Python","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"C++, Java, HTML, Linux, SQL, Node.js","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Linux, Git, C++, Machine Learning, Python, JavaScript, Java","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Node.js, Linux, Deep Learning, Azure, React, Data Analysis","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"JavaScript, Azure, React, AWS, C++","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"SQL, AWS, Data Analysis, JavaScript, Python, Kubernetes","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"JavaScript, Java, Azure, CSS","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",1
"Docker, Linux, Java, Kubernetes","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Data Analysis, C++, Docker, Machine Learning, Azure","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Git, Python, JavaScript, C++, Java, Data Analysis, HTML","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",1
"Machine Learning, React, Git, Azure, Java","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Deep Learning, Node.js, Java, HTML","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Data Analysis, Node.js, Deep Learning, HTML, Machine Learning, React, AWS","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Data Analysis, Docker, Java, Git, Node.js, Deep Learning, Kubernetes","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Docker, Linux, CSS, Azure, Git, AWS, Node.js","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Deep Learning, CSS, HTML, JavaScript, React","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",1
"Machine Learning, Java, HTML, Kubernetes, Python, Node.js, CSS","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Node.js, Docker, AWS, CSS, Azure, Deep Learning","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"JavaScript, Data Analysis, Java, Deep Learning, CSS, Python","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"CSS, Kubernetes, Node.js, SQL, AWS, Machine Learning","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",1
"Java, Deep Learning, Linux, Python, C++, HTML, Data Analysis","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"JavaScript, HTML, Docker, Python, Java","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Python, Linux, React, Docker, C++, CSS, Java","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Deep Learning, Java, Python, React, Kubernetes, Node.js, SQL","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Azure, SQL, Data Analysis, Kubernetes, Python","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Java, Data Analysis, Docker, Kubernetes, Python","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Docker, Machine Learning, Java, Git, Node.js","Looking for Backend Developer with skills: Java, SQL, Docker, Git",1
"Machine Learning, SQL, Linux, Deep Learning","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",1
"Docker, Deep Learning, Machine Learning, CSS, Java","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"C++, Data Analysis, Git, Docker, AWS, Java","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Docker, Deep Learning, JavaScript, HTML, Linux","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Linux, JavaScript, Data Analysis, Azure, Java, HTML","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"CSS, React, JavaScript, Node.js, HTML, Python, Linux","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Azure, Machine Learning, Data Analysis, Java, Git, Kubernetes, SQL","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Java, Azure, AWS, SQL","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Python, Azure, Kubernetes, JavaScript, HTML, Machine Learning, AWS","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"CSS, Java, Kubernetes, Azure","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Python, CSS, Java, SQL, Kubernetes, Deep Learning","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"C++, Azure, Git, Node.js, HTML, Linux","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"HTML, Java, Data Analysis, React","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Linux, Deep Learning, JavaScript, C++, SQL, HTML","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Node.js, Azure, Kubernetes, Python, Deep Learning, SQL","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Deep Learning, Machine Learning, Kubernetes, AWS, React, Node.js","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Linux, AWS, Kubernetes, Data Analysis, Python","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",1
"Linux, Git, Data Analysis, Deep Learning, SQL, Java, Machine Learning","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Linux, AWS, Azure, Node.js, Machine Learning, HTML, Git","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"JavaScript, Node.js, Java, AWS, SQL, HTML","Looking for Backend Developer with skills: Java, SQL, Docker, Git",1
"Machine Learning, Data Analysis, SQL, CSS, React, Linux","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Python, CSS, Data Analysis, React, Node.js","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Java, Node.js, Azure, Data Analysis","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"C++, JavaScript, Kubernetes, Machine Learning, AWS, HTML","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"SQL, JavaScript, C++, Data Analysis","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"SQL, Data Analysis, Deep Learning, Machine Learning, Azure, Git, React","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Azure, Git, Kubernetes, Machine Learning, HTML, Python","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Linux, C++, SQL, JavaScript, Azure, CSS","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Azure, SQL, Git, Linux, Python","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"HTML, Kubernetes, Java, CSS, Git","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Kubernetes, Deep Learning, Node.js, CSS, Azure, Docker","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Data Analysis, HTML, SQL, Deep Learning","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",1
"C++, SQL, Docker, Kubernetes","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"CSS, Machine Learning, React, Kubernetes","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Node.js, Data Analysis, Kubernetes, CSS","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"HTML, Linux, SQL, JavaScript, Node.js, CSS","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Linux, Python, Java, Kubernetes, CSS, Node.js, Docker","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Python, SQL, Git, AWS, Docker, CSS","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Java, React, Kubernetes, Data Analysis, Azure, CSS","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"HTML, Azure, SQL, Kubernetes","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Kubernetes, Docker, Deep Learning, Node.js, Azure, Data Analysis, AWS","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Python, SQL, Git, CSS, C++, React","Looking for Backend Developer with skills: Java, SQL, Docker, Git",1
"Deep Learning, React, Python, AWS, JavaScript","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Deep Learning, CSS, Git, Data Analysis, Kubernetes","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Azure, Docker, Data Analysis, Git, SQL, JavaScript","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",1
"CSS, HTML, Linux, C++, Python","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"AWS, Azure, JavaScript, C++, Docker, Node.js, Deep Learning","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"Linux, AWS, HTML, Deep Learning","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"C++, Data Analysis, Docker, SQL, JavaScript, Git, Linux","Looking for Backend Developer with skills: Java, SQL, Docker, Git",1
"Python, Kubernetes, CSS, Node.js, Java, Azure, HTML","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Machine Learning, C++, SQL, Python, Linux, Git","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"CSS, Python, Node.js, Linux, C++, HTML","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Deep Learning, Kubernetes, JavaScript, Java, Node.js, HTML, CSS","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",1
"Linux, React, JavaScript, Azure, CSS, AWS","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",1
"Python, React, Data Analysis, Azure","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"HTML, SQL, Deep Learning, Git","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"JavaScript, Node.js, HTML, Python, CSS","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Linux, Azure, Machine Learning, Python, C++, AWS, React","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",1
"Node.js, Java, Kubernetes, JavaScript, Machine Learning, Data Analysis, C++","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"React, C++, CSS, Linux, Data Analysis, Git","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Git, HTML, Kubernetes, JavaScript, Data Analysis, Deep Learning, Docker","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",1
"Deep Learning, Java, Machine Learning, HTML, SQL, React, Azure","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"C++, Machine Learning, JavaScript, HTML, Java, React","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Data Analysis, React, Kubernetes, Java","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"JavaScript, HTML, Azure, Node.js, SQL","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Node.js, Python, JavaScript, Kubernetes, Docker, Deep Learning","Looking for DevOps Engineer with skills: Docker, Kubernetes, AWS, Linux",0
"Azure, React, Python, Linux, Kubernetes, Docker","Looking for Frontend Developer with skills: HTML, CSS, JavaScript, React",0
"Kubernetes, Git, Node.js, HTML, Data Analysis, React, CSS","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Docker, React, Linux, Deep Learning, Data Analysis, HTML, Azure","Looking for Backend Developer with skills: Java, SQL, Docker, Git",0
"Docker, Java, AWS, Node.js, SQL, Python, Azure","Looking for Data Scientist with skills: Python, Machine Learning, SQL, Data Analysis",0
"CSS, Azure, Java, Docker, Git","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
"Java, Docker, SQL, Linux","Looking for AI Engineer with skills: Python, Deep Learning, Machine Learning",0
