id,cv_id,jd_id,cv_text,jd_text,label,job_category
1776,CV_1776,JD_055,"Junior Frontend Developer with 9+ years of experience. Proficient in CSS3, HTML5, Vue.js. Strong problem-solving and communication skills.","We are hiring Junior Cloud Architect. Requirements: 5+ years experience in Python, System Design, Java. Bachelor's degree required.",0,Frontend Developer
22,CV_0022,JD_289,"Mid-level Software Engineer with 6+ years of experience. Proficient in Agile, Git, Python, System Design, Java. Strong problem-solving and communication skills.","We are hiring Mid-level Software Engineer. Requirements: 6+ years experience in Data Structures, Git, Python, System Design, Agile. Bachelor's degree required.",1,Software Engineer
884,CV_0884,JD_238,"Mid-level System Administrator with 7+ years of experience. Proficient in Agile, Git, Algorithms, Python. Strong problem-solving and communication skills.","We are hiring Mid-level System Administrator. Requirements: 6+ years experience in System Design, Python, Agile, Java, Algorithms. Bachelor's degree required.",1,System Administrator
1937,CV_1937,JD_116,"Mid-level Frontend Developer with 6+ years of experience. Proficient in Vue.js, HTML5, TypeScript, Angular. Strong problem-solving and communication skills.","We are hiring Mid-level UI/UX Designer. Requirements: 5+ years experience in Java, Data Structures, Agile, Git, System Design. Bachelor's degree required.",0,Frontend Developer
276,CV_0276,JD_329,"Mid-level UI/UX Designer with 6+ years of experience. Proficient in Java, Python, System Design. Strong problem-solving and communication skills.","We are hiring Mid-level UI/UX Designer. Requirements: 5+ years experience in Java, Git, Python, Agile, Data Structures. Bachelor's degree required.",1,UI/UX Designer
647,CV_0647,JD_149,"Mid-level System Administrator with 7+ years of experience. Proficient in Agile, Git, System Design, Java. Strong problem-solving and communication skills.","We are hiring Mid-level System Administrator. Requirements: 2+ years experience in Java, Agile, Git, Algorithms. Bachelor's degree required.",1,System Administrator
820,CV_0820,JD_428,"Senior Data Scientist with 9+ years of experience. Proficient in Machine Learning, Statistics, R. Strong problem-solving and communication skills.","We are hiring Senior Network Engineer. Requirements: 7+ years experience in Data Structures, Agile, Git, Java. Bachelor's degree required.",0,Data Scientist
1740,CV_1740,JD_324,"Junior Mobile Developer with 7+ years of experience. Proficient in Git, Data Structures, Python. Strong problem-solving and communication skills.","We are hiring Junior Mobile Developer. Requirements: 5+ years experience in Data Structures, Git, Python, System Design, Java. Bachelor's degree required.",1,Mobile Developer
788,CV_0788,JD_482,"Senior Cloud Architect with 6+ years of experience. Proficient in System Design, Algorithms, Java, Python, Git. Strong problem-solving and communication skills.","We are hiring Senior System Administrator. Requirements: 3+ years experience in Algorithms, Python, Agile. Bachelor's degree required.",0,Cloud Architect
2160,CV_2160,JD_115,"Senior Business Analyst with 2+ years of experience. Proficient in Java, Data Structures, Python. Strong problem-solving and communication skills.","We are hiring Senior Business Analyst. Requirements: 3+ years experience in Agile, Python, System Design, Java. Bachelor's degree required.",1,Business Analyst
2313,CV_2313,JD_106,"Senior Security Engineer with 3+ years of experience. Proficient in Python, System Design, Data Structures. Strong problem-solving and communication skills.","We are hiring Senior Security Engineer. Requirements: 2+ years experience in Python, Java, Git, Agile, Algorithms. Bachelor's degree required.",1,Security Engineer
1924,CV_1924,JD_171,"Senior Data Scientist with 3+ years of experience. Proficient in Statistics, Machine Learning, Python. Strong problem-solving and communication skills.","We are hiring Senior Data Scientist. Requirements: 4+ years experience in R, PyTorch, SQL. Bachelor's degree required.",1,Data Scientist
1480,CV_1480,JD_043,"Junior Product Manager with 3+ years of experience. Proficient in JIRA, Analytics, User Research. Strong problem-solving and communication skills.","We are hiring Junior Software Engineer. Requirements: 5+ years experience in Python, Data Structures, Git, Java, Agile. Bachelor's degree required.",0,Product Manager
1340,CV_1340,JD_396,"Mid-level Database Administrator with 8+ years of experience. Proficient in Data Structures, Java, Agile, Algorithms, System Design. Strong problem-solving and communication skills.","We are hiring Mid-level Database Administrator. Requirements: 5+ years experience in System Design, Algorithms, Data Structures, Java. Bachelor's degree required.",1,Database Administrator
604,CV_0604,JD_463,"Mid-level Fullstack Developer with 8+ years of experience. Proficient in Data Structures, Python, Java. Strong problem-solving and communication skills.","We are hiring Mid-level Fullstack Developer. Requirements: 2+ years experience in Git, Agile, Java, Data Structures. Bachelor's degree required.",1,Fullstack Developer
1550,CV_1550,JD_161,"Mid-level Frontend Developer with 3+ years of experience. Proficient in TypeScript, HTML5, React, JavaScript, Angular. Strong problem-solving and communication skills.","We are hiring Mid-level Frontend Developer. Requirements: 2+ years experience in Vue.js, CSS3, React. Bachelor's degree required.",1,Frontend Developer
1837,CV_1837,JD_027,"Junior Fullstack Developer with 4+ years of experience. Proficient in Data Structures, Algorithms, System Design, Agile. Strong problem-solving and communication skills.","We are hiring Junior Fullstack Developer. Requirements: 2+ years experience in Agile, Java, Git. Bachelor's degree required.",1,Fullstack Developer
1379,CV_1379,JD_035,"Senior Data Engineer with 7+ years of experience. Proficient in Git, Algorithms, Agile. Strong problem-solving and communication skills.","We are hiring Senior Data Engineer. Requirements: 2+ years experience in Git, Data Structures, Java. Bachelor's degree required.",1,Data Engineer
19,CV_0019,JD_060,"Senior Fullstack Developer with 7+ years of experience. Proficient in Algorithms, Java, Git, Data Structures, Python. Strong problem-solving and communication skills.","We are hiring Senior Security Engineer. Requirements: 6+ years experience in Python, Data Structures, Java, Agile. Bachelor's degree required.",0,Fullstack Developer
2013,CV_2013,JD_177,"Senior Network Engineer with 6+ years of experience. Proficient in Git, Data Structures, Algorithms, Agile, Python. Strong problem-solving and communication skills.","We are hiring Senior Network Engineer. Requirements: 7+ years experience in Algorithms, Git, Python, System Design, Agile. Bachelor's degree required.",1,Network Engineer
603,CV_0603,JD_087,"Mid-level Fullstack Developer with 4+ years of experience. Proficient in Python, Git, Agile, Data Structures. Strong problem-solving and communication skills.","We are hiring Mid-level Fullstack Developer. Requirements: 4+ years experience in Algorithms, Python, Agile. Bachelor's degree required.",1,Fullstack Developer
833,CV_0833,JD_422,"Junior System Administrator with 8+ years of experience. Proficient in Git, Python, Algorithms, System Design, Java. Strong problem-solving and communication skills.","We are hiring Junior System Administrator. Requirements: 5+ years experience in Algorithms, Data Structures, Agile, Python, System Design. Bachelor's degree required.",1,System Administrator
1422,CV_1422,JD_437,"Mid-level Network Engineer with 3+ years of experience. Proficient in Algorithms, Python, Java. Strong problem-solving and communication skills.","We are hiring Mid-level Network Engineer. Requirements: 2+ years experience in Git, System Design, Python, Agile, Java. Bachelor's degree required.",1,Network Engineer
2390,CV_2390,JD_052,"Mid-level DevOps Engineer with 6+ years of experience. Proficient in Linux, CI/CD, Git, Docker. Strong problem-solving and communication skills.","We are hiring Mid-level DevOps Engineer. Requirements: 3+ years experience in Terraform, Kubernetes, Jenkins, AWS. Bachelor's degree required.",1,DevOps Engineer
1000,CV_1000,JD_237,"Senior Mobile Developer with 7+ years of experience. Proficient in System Design, Agile, Algorithms. Strong problem-solving and communication skills.","We are hiring Senior Mobile Developer. Requirements: 4+ years experience in Python, Algorithms, Git. Bachelor's degree required.",1,Mobile Developer
1183,CV_1183,JD_474,"Mid-level Mobile Developer with 6+ years of experience. Proficient in Agile, Algorithms, System Design, Git, Data Structures. Strong problem-solving and communication skills.","We are hiring Mid-level Mobile Developer. Requirements: 2+ years experience in System Design, Algorithms, Data Structures, Python. Bachelor's degree required.",1,Mobile Developer
765,CV_0765,JD_155,"Mid-level Fullstack Developer with 6+ years of experience. Proficient in System Design, Agile, Data Structures, Python. Strong problem-solving and communication skills.","We are hiring Mid-level Fullstack Developer. Requirements: 3+ years experience in Git, System Design, Algorithms. Bachelor's degree required.",1,Fullstack Developer
1556,CV_1556,JD_215,"Mid-level UI/UX Designer with 9+ years of experience. Proficient in Python, Java, Git. Strong problem-solving and communication skills.","We are hiring Mid-level UI/UX Designer. Requirements: 2+ years experience in Algorithms, Java, Agile, System Design. Bachelor's degree required.",1,UI/UX Designer
1842,CV_1842,JD_429,"Senior Machine Learning Engineer with 5+ years of experience. Proficient in Java, System Design, Algorithms, Python. Strong problem-solving and communication skills.","We are hiring Senior Machine Learning Engineer. Requirements: 4+ years experience in Python, Data Structures, System Design, Java. Bachelor's degree required.",1,Machine Learning Engineer
479,CV_0479,JD_386,"Junior System Administrator with 9+ years of experience. Proficient in Git, Data Structures, Agile, Python. Strong problem-solving and communication skills.","We are hiring Junior System Administrator. Requirements: 4+ years experience in System Design, Java, Git, Algorithms, Data Structures. Bachelor's degree required.",1,System Administrator
506,CV_0506,JD_120,"Junior Project Manager with 6+ years of experience. Proficient in Git, Algorithms, Python. Strong problem-solving and communication skills.","We are hiring Junior Data Engineer. Requirements: 6+ years experience in Git, Agile, Algorithms, Python, Java. Bachelor's degree required.",0,Project Manager
1101,CV_1101,JD_306,"Junior UI/UX Designer with 2+ years of experience. Proficient in Algorithms, Data Structures, Python, System Design. Strong problem-solving and communication skills.","We are hiring Junior Software Engineer. Requirements: 3+ years experience in Git, Java, Data Structures. Bachelor's degree required.",0,UI/UX Designer
295,CV_0295,JD_032,"Senior Database Administrator with 2+ years of experience. Proficient in Data Structures, Algorithms, System Design, Git. Strong problem-solving and communication skills.","We are hiring Senior Database Administrator. Requirements: 4+ years experience in Java, Algorithms, Python. Bachelor's degree required.",1,Database Administrator
1390,CV_1390,JD_424,"Junior Business Analyst with 2+ years of experience. Proficient in Java, Agile, Data Structures, Git. Strong problem-solving and communication skills.","We are hiring Junior QA Engineer. Requirements: 2+ years experience in Algorithms, Git, Java. Bachelor's degree required.",0,Business Analyst
723,CV_0723,JD_056,"Mid-level Data Analyst with 3+ years of experience. Proficient in Data Visualization, Excel, Python, Tableau, Statistics. Strong problem-solving and communication skills.","We are hiring Mid-level Data Analyst. Requirements: 3+ years experience in Python, Statistics, Data Visualization, Power BI, Tableau. Bachelor's degree required.",1,Data Analyst
1167,CV_1167,JD_298,"Junior Cloud Architect with 3+ years of experience. Proficient in System Design, Agile, Git, Data Structures, Python. Strong problem-solving and communication skills.","We are hiring Junior Frontend Developer. Requirements: 6+ years experience in HTML5, Angular, CSS3. Bachelor's degree required.",0,Cloud Architect
60,CV_0060,JD_303,"Junior QA Engineer with 2+ years of experience. Proficient in Agile, Java, System Design, Git. Strong problem-solving and communication skills.","We are hiring Junior QA Engineer. Requirements: 3+ years experience in Agile, Python, Java, Algorithms, System Design. Bachelor's degree required.",1,QA Engineer
2386,CV_2386,JD_056,"Junior Machine Learning Engineer with 3+ years of experience. Proficient in Python, Algorithms, Git. Strong problem-solving and communication skills.","We are hiring Junior Cloud Architect. Requirements: 7+ years experience in Agile, System Design, Git, Algorithms. Bachelor's degree required.",0,Machine Learning Engineer
1927,CV_1927,JD_447,"Junior System Administrator with 7+ years of experience. Proficient in System Design, Git, Java. Strong problem-solving and communication skills.","We are hiring Junior System Administrator. Requirements: 5+ years experience in Algorithms, Java, System Design. Bachelor's degree required.",1,System Administrator
353,CV_0353,JD_285,"Junior Data Analyst with 6+ years of experience. Proficient in Data Visualization, Power BI, Tableau, Excel, Python. Strong problem-solving and communication skills.","We are hiring Junior Cloud Architect. Requirements: 4+ years experience in Git, System Design, Agile, Algorithms. Bachelor's degree required.",0,Data Analyst
1932,CV_1932,JD_252,"Senior Data Analyst with 6+ years of experience. Proficient in Power BI, Statistics, Data Visualization, Excel. Strong problem-solving and communication skills.","We are hiring Senior Data Analyst. Requirements: 3+ years experience in Excel, Power BI, Python. Bachelor's degree required.",1,Data Analyst
2011,CV_2011,JD_084,"Senior System Administrator with 9+ years of experience. Proficient in Algorithms, Agile, Git. Strong problem-solving and communication skills.","We are hiring Senior UI/UX Designer. Requirements: 2+ years experience in Agile, Java, System Design, Algorithms, Python. Bachelor's degree required.",0,System Administrator
1989,CV_1989,JD_031,"Senior Project Manager with 8+ years of experience. Proficient in Algorithms, Git, Python, Agile. Strong problem-solving and communication skills.","We are hiring Senior Project Manager. Requirements: 4+ years experience in Git, Algorithms, Python, Agile. Bachelor's degree required.",1,Project Manager
258,CV_0258,JD_471,"Junior Security Engineer with 3+ years of experience. Proficient in Algorithms, System Design, Java, Data Structures. Strong problem-solving and communication skills.","We are hiring Junior Security Engineer. Requirements: 3+ years experience in Algorithms, Python, Data Structures, System Design, Agile. Bachelor's degree required.",1,Security Engineer
1609,CV_1609,JD_497,"Senior Mobile Developer with 3+ years of experience. Proficient in Data Structures, Agile, System Design, Git. Strong problem-solving and communication skills.","We are hiring Senior Mobile Developer. Requirements: 4+ years experience in Python, System Design, Agile, Data Structures, Git. Bachelor's degree required.",1,Mobile Developer
889,CV_0889,JD_125,"Senior Business Analyst with 7+ years of experience. Proficient in Java, Git, Python, Agile, Algorithms. Strong problem-solving and communication skills.","We are hiring Senior System Administrator. Requirements: 5+ years experience in System Design, Python, Java, Data Structures, Git. Bachelor's degree required.",0,Business Analyst
484,CV_0484,JD_107,"Junior Backend Developer with 6+ years of experience. Proficient in Microservices, Spring Boot, SQL, Node.js, Java. Strong problem-solving and communication skills.","We are hiring Junior Data Engineer. Requirements: 4+ years experience in Java, Algorithms, Git. Bachelor's degree required.",0,Backend Developer
1004,CV_1004,JD_418,"Junior Data Analyst with 7+ years of experience. Proficient in Tableau, Statistics, SQL, Python, Data Visualization. Strong problem-solving and communication skills.","We are hiring Junior Data Analyst. Requirements: 3+ years experience in Power BI, SQL, Tableau, Excel. Bachelor's degree required.",1,Data Analyst
2184,CV_2184,JD_286,"Junior Security Engineer with 8+ years of experience. Proficient in System Design, Git, Algorithms, Data Structures, Agile. Strong problem-solving and communication skills.","We are hiring Junior Security Engineer. Requirements: 2+ years experience in Algorithms, System Design, Agile, Data Structures. Bachelor's degree required.",1,Security Engineer
692,CV_0692,JD_016,"Junior System Administrator with 8+ years of experience. Proficient in Git, Algorithms, Java. Strong problem-solving and communication skills.","We are hiring Junior System Administrator. Requirements: 5+ years experience in Python, Java, Agile, Data Structures. Bachelor's degree required.",1,System Administrator
1438,CV_1438,JD_117,"Mid-level Data Scientist with 6+ years of experience. Proficient in Machine Learning, Python, Data Visualization, TensorFlow. Strong problem-solving and communication skills.","We are hiring Mid-level Data Scientist. Requirements: 3+ years experience in Machine Learning, Python, R. Bachelor's degree required.",1,Data Scientist
582,CV_0582,JD_181,"Junior Database Administrator with 8+ years of experience. Proficient in Algorithms, Git, Agile, Data Structures, Java. Strong problem-solving and communication skills.","We are hiring Junior QA Engineer. Requirements: 3+ years experience in Agile, Git, Data Structures. Bachelor's degree required.",0,Database Administrator
41,CV_0041,JD_411,"Mid-level QA Engineer with 3+ years of experience. Proficient in Data Structures, Agile, Python. Strong problem-solving and communication skills.","We are hiring Mid-level Data Scientist. Requirements: 6+ years experience in R, Machine Learning, TensorFlow. Bachelor's degree required.",0,QA Engineer
2099,CV_2099,JD_262,"Junior Security Engineer with 3+ years of experience. Proficient in Git, Java, Data Structures, Agile, System Design. Strong problem-solving and communication skills.","We are hiring Junior DevOps Engineer. Requirements: 2+ years experience in AWS, Terraform, Git, Kubernetes. Bachelor's degree required.",0,Security Engineer
2048,CV_2048,JD_086,"Mid-level Mobile Developer with 8+ years of experience. Proficient in Git, System Design, Java. Strong problem-solving and communication skills.","We are hiring Mid-level Product Manager. Requirements: 5+ years experience in JIRA, User Research, Roadmapping, Product Strategy, Agile. Bachelor's degree required.",0,Mobile Developer
2276,CV_2276,JD_463,"Senior Mobile Developer with 8+ years of experience. Proficient in Algorithms, Java, Data Structures, Agile, Python. Strong problem-solving and communication skills.","We are hiring Senior Mobile Developer. Requirements: 3+ years experience in Java, System Design, Git, Python, Data Structures. Bachelor's degree required.",1,Mobile Developer
42,CV_0042,JD_111,"Mid-level Cloud Architect with 3+ years of experience. Proficient in Python, Agile, Algorithms. Strong problem-solving and communication skills.","We are hiring Mid-level Mobile Developer. Requirements: 4+ years experience in Algorithms, Java, System Design, Agile. Bachelor's degree required.",0,Cloud Architect
1141,CV_1141,JD_455,"Senior Data Engineer with 8+ years of experience. Proficient in Algorithms, Agile, System Design, Data Structures. Strong problem-solving and communication skills.","We are hiring Senior Data Engineer. Requirements: 3+ years experience in System Design, Algorithms, Data Structures, Git. Bachelor's degree required.",1,Data Engineer
1962,CV_1962,JD_396,"Mid-level Database Administrator with 2+ years of experience. Proficient in Python, System Design, Java, Agile. Strong problem-solving and communication skills.","We are hiring Mid-level Database Administrator. Requirements: 3+ years experience in Python, Git, Java. Bachelor's degree required.",1,Database Administrator
81,CV_0081,JD_079,"Mid-level Data Scientist with 5+ years of experience. Proficient in Statistics, Python, R, TensorFlow. Strong problem-solving and communication skills.","We are hiring Mid-level Data Scientist. Requirements: 2+ years experience in SQL, PyTorch, Python, Data Visualization, R. Bachelor's degree required.",1,Data Scientist
1875,CV_1875,JD_476,"Junior Backend Developer with 7+ years of experience. Proficient in SQL, Spring Boot, Microservices, Python, Node.js. Strong problem-solving and communication skills.","We are hiring Junior Backend Developer. Requirements: 4+ years experience in Java, SQL, Spring Boot, Microservices, REST APIs. Bachelor's degree required.",1,Backend Developer
560,CV_0560,JD_420,"Mid-level Business Analyst with 9+ years of experience. Proficient in Data Structures, Algorithms, Agile, System Design. Strong problem-solving and communication skills.","We are hiring Mid-level Software Engineer. Requirements: 5+ years experience in Java, Git, Data Structures, Python, Algorithms. Bachelor's degree required.",0,Business Analyst
1034,CV_1034,JD_292,"Junior Machine Learning Engineer with 2+ years of experience. Proficient in Data Structures, Agile, Java. Strong problem-solving and communication skills.","We are hiring Junior Machine Learning Engineer. Requirements: 5+ years experience in Python, Agile, Data Structures, Algorithms, Git. Bachelor's degree required.",1,Machine Learning Engineer
494,CV_0494,JD_050,"Junior Product Manager with 4+ years of experience. Proficient in User Research, Roadmapping, Product Strategy. Strong problem-solving and communication skills.","We are hiring Junior System Administrator. Requirements: 2+ years experience in Data Structures, Java, Git. Bachelor's degree required.",0,Product Manager
944,CV_0944,JD_493,"Junior Software Engineer with 5+ years of experience. Proficient in Java, Python, Algorithms, System Design. Strong problem-solving and communication skills.","We are hiring Junior Network Engineer. Requirements: 6+ years experience in Agile, System Design, Git, Algorithms, Data Structures. Bachelor's degree required.",0,Software Engineer
2413,CV_2413,JD_113,"Senior Software Engineer with 3+ years of experience. Proficient in System Design, Agile, Algorithms, Data Structures, Git. Strong problem-solving and communication skills.","We are hiring Senior Software Engineer. Requirements: 5+ years experience in Git, Python, Java, Agile, System Design. Bachelor's degree required.",1,Software Engineer
2170,CV_2170,JD_249,"Junior Cloud Architect with 6+ years of experience. Proficient in Algorithms, Python, System Design, Git. Strong problem-solving and communication skills.","We are hiring Junior Mobile Developer. Requirements: 7+ years experience in Java, Data Structures, Agile, System Design. Bachelor's degree required.",0,Cloud Architect
2057,CV_2057,JD_296,"Junior Project Manager with 5+ years of experience. Proficient in Algorithms, System Design, Python, Data Structures. Strong problem-solving and communication skills.","We are hiring Junior Project Manager. Requirements: 7+ years experience in Algorithms, Git, Python, Agile, Java. Bachelor's degree required.",1,Project Manager
1138,CV_1138,JD_274,"Senior Security Engineer with 2+ years of experience. Proficient in System Design, Python, Data Structures, Git. Strong problem-solving and communication skills.","We are hiring Senior Security Engineer. Requirements: 4+ years experience in Python, Git, System Design, Java, Agile. Bachelor's degree required.",1,Security Engineer
48,CV_0048,JD_005,"Junior Database Administrator with 4+ years of experience. Proficient in Git, Algorithms, Java, Data Structures. Strong problem-solving and communication skills.","We are hiring Junior DevOps Engineer. Requirements: 6+ years experience in Jenkins, Git, AWS, Kubernetes, CI/CD. Bachelor's degree required.",0,Database Administrator
885,CV_0885,JD_308,"Mid-level Data Scientist with 8+ years of experience. Proficient in TensorFlow, R, Machine Learning. Strong problem-solving and communication skills.","We are hiring Mid-level Data Scientist. Requirements: 2+ years experience in TensorFlow, Statistics, Python, PyTorch, Data Visualization. Bachelor's degree required.",1,Data Scientist
710,CV_0710,JD_208,"Junior Machine Learning Engineer with 2+ years of experience. Proficient in Data Structures, Python, Algorithms, Agile. Strong problem-solving and communication skills.","We are hiring Junior Machine Learning Engineer. Requirements: 7+ years experience in Python, Git, Data Structures. Bachelor's degree required.",1,Machine Learning Engineer
1238,CV_1238,JD_397,"Mid-level UI/UX Designer with 9+ years of experience. Proficient in System Design, Git, Data Structures, Python, Algorithms. Strong problem-solving and communication skills.","We are hiring Mid-level UI/UX Designer. Requirements: 5+ years experience in Python, Data Structures, Algorithms, System Design. Bachelor's degree required.",1,UI/UX Designer
1326,CV_1326,JD_375,"Junior Mobile Developer with 3+ years of experience. Proficient in Java, Agile, Git, System Design, Python. Strong problem-solving and communication skills.","We are hiring Junior Mobile Developer. Requirements: 7+ years experience in Git, Java, Python, System Design, Data Structures. Bachelor's degree required.",1,Mobile Developer
1911,CV_1911,JD_329,"Junior Mobile Developer with 5+ years of experience. Proficient in Data Structures, System Design, Python, Agile, Algorithms. Strong problem-solving and communication skills.","We are hiring Junior Mobile Developer. Requirements: 2+ years experience in Git, Java, Data Structures. Bachelor's degree required.",1,Mobile Developer
1072,CV_1072,JD_055,"Junior Data Engineer with 8+ years of experience. Proficient in Data Structures, Java, Python. Strong problem-solving and communication skills.","We are hiring Junior Product Manager. Requirements: 4+ years experience in Product Strategy, Scrum, User Research. Bachelor's degree required.",0,Data Engineer
436,CV_0436,JD_332,"Senior Frontend Developer with 9+ years of experience. Proficient in HTML5, CSS3, TypeScript, Angular, JavaScript. Strong problem-solving and communication skills.","We are hiring Senior Frontend Developer. Requirements: 3+ years experience in TypeScript, JavaScript, HTML5. Bachelor's degree required.",1,Frontend Developer
1578,CV_1578,JD_222,"Junior Software Engineer with 6+ years of experience. Proficient in Data Structures, Algorithms, System Design, Agile, Java. Strong problem-solving and communication skills.","We are hiring Junior Software Engineer. Requirements: 6+ years experience in Data Structures, Python, Algorithms, Agile. Bachelor's degree required.",1,Software Engineer
1979,CV_1979,JD_349,"Senior Fullstack Developer with 8+ years of experience. Proficient in Agile, Python, System Design, Git. Strong problem-solving and communication skills.","We are hiring Senior Database Administrator. Requirements: 5+ years experience in Java, Git, Algorithms, System Design, Agile. Bachelor's degree required.",0,Fullstack Developer
1700,CV_1700,JD_389,"Senior UI/UX Designer with 3+ years of experience. Proficient in Data Structures, Git, System Design, Java, Python. Strong problem-solving and communication skills.","We are hiring Senior Security Engineer. Requirements: 6+ years experience in Git, Algorithms, Java, System Design, Agile. Bachelor's degree required.",0,UI/UX Designer
1726,CV_1726,JD_066,"Senior Machine Learning Engineer with 3+ years of experience. Proficient in System Design, Java, Git. Strong problem-solving and communication skills.","We are hiring Senior Machine Learning Engineer. Requirements: 7+ years experience in Java, Git, Python, System Design, Agile. Bachelor's degree required.",1,Machine Learning Engineer
3,CV_0003,JD_081,"Senior Frontend Developer with 8+ years of experience. Proficient in React, CSS3, JavaScript. Strong problem-solving and communication skills.","We are hiring Senior Machine Learning Engineer. Requirements: 7+ years experience in Python, Java, Git, Algorithms, Data Structures. Bachelor's degree required.",0,Frontend Developer
845,CV_0845,JD_293,"Mid-level Backend Developer with 6+ years of experience. Proficient in Java, Node.js, Spring Boot, SQL, Python. Strong problem-solving and communication skills.","We are hiring Mid-level Fullstack Developer. Requirements: 3+ years experience in Java, System Design, Python, Algorithms, Agile. Bachelor's degree required.",0,Backend Developer
571,CV_0571,JD_316,"Junior Backend Developer with 6+ years of experience. Proficient in Spring Boot, Python, Node.js, Java. Strong problem-solving and communication skills.","We are hiring Junior Backend Developer. Requirements: 4+ years experience in Spring Boot, Java, REST APIs, Python. Bachelor's degree required.",1,Backend Developer
1679,CV_1679,JD_380,"Junior System Administrator with 9+ years of experience. Proficient in Git, Java, Algorithms, Data Structures. Strong problem-solving and communication skills.","We are hiring Junior Network Engineer. Requirements: 6+ years experience in Python, System Design, Git, Agile, Algorithms. Bachelor's degree required.",0,System Administrator
1278,CV_1278,JD_146,"Mid-level Software Engineer with 5+ years of experience. Proficient in Algorithms, Python, Java. Strong problem-solving and communication skills.","We are hiring Mid-level Software Engineer. Requirements: 6+ years experience in Git, Java, Agile, System Design, Python. Bachelor's degree required.",1,Software Engineer
1593,CV_1593,JD_173,"Mid-level Backend Developer with 5+ years of experience. Proficient in Java, Spring Boot, REST APIs, Python. Strong problem-solving and communication skills.","We are hiring Mid-level Backend Developer. Requirements: 2+ years experience in Spring Boot, Django, Python. Bachelor's degree required.",1,Backend Developer
846,CV_0846,JD_350,"Junior Backend Developer with 8+ years of experience. Proficient in Java, Node.js, Django. Strong problem-solving and communication skills.","We are hiring Junior Backend Developer. Requirements: 6+ years experience in REST APIs, Spring Boot, Python. Bachelor's degree required.",1,Backend Developer
1507,CV_1507,JD_057,"Junior Security Engineer with 5+ years of experience. Proficient in Data Structures, System Design, Java. Strong problem-solving and communication skills.","We are hiring Junior Security Engineer. Requirements: 5+ years experience in Python, Agile, System Design, Algorithms. Bachelor's degree required.",1,Security Engineer
1948,CV_1948,JD_361,"Mid-level Security Engineer with 9+ years of experience. Proficient in System Design, Python, Data Structures. Strong problem-solving and communication skills.","We are hiring Mid-level Security Engineer. Requirements: 3+ years experience in Git, Agile, Data Structures. Bachelor's degree required.",1,Security Engineer
